tissue,week,mouse,pair,host.treg.naive,host.treg.activ,host.treg.cd69p,donor.treg.naive,donor.treg.activ,donor.treg.cd69p
Blood,4,72,36,0.212506577,0.215790343,0.040577967,0.247786564,0.272924332,0.010414218
Brain,4,67,34,0.015127507,0.356157334,0.363500784,0.007588166,0.136374738,0.12125147
Brain,4,68,34,0.021071225,0.494946392,0.241788513,0.010570131,0.200679298,0.030944441
Brain,4,69,35,0.030728627,0.282152037,0.484847466,0.006127,0.122539991,0.073604879
Brain,4,70,35,0.018261221,0.146379628,0.554358492,0,0.231878936,0.049121722
Brain,4,71,36,0.008195804,0.254152714,0.565427698,0,0.073884003,0.098339781
Brain,4,72,36,0.02985443,0.256748101,0.370858368,0.029815161,0.2740134,0.038710539
Blood,0,81,0,0.674521497,0.324986162,4.92341e-4,0,0,0
Blood,0,82,0,0.71932119,0.280037009,6.41801e-4,0,0,0
Blood,0,83,0,0.70581176,0.29092595,0.003262289,0,0,0
Blood,0,84,0,0.665994652,0.334005348,0,0,0,0
Blood,0,85,0,0.71520994,0.28479006,0,0,0,0
Brain,0,81,0,0.367574268,0.427028842,0.20539689,0,0,0
Brain,0,82,0,0.22507043,0.310020224,0.464909346,0,0,0
Brain,0,83,0,0.207063289,0.557494189,0.235442522,0,0,0
Brain,0,84,0,0.267609413,0.439570308,0.292820279,0,0,0
Brain,0,85,0,0.192802198,0.293626448,0.513571354,0,0,0
Brain,0,86,0,0.132,0.585,0.283,0,0,0
Brain,0,87,0,0.24,0.52,0.24,0,0,0
Brain,0,88,0,0.155,0.397,0.448,0,0,0
Blood,0,86,0,0.434,0.561,0.0029,0,0,0
Blood,0,87,0,0.448,0.547,0.0016,0,0,0
Blood,0,88,0,0.509,0.477,0.0085,0,0,0
Blood,0,89,0,0.403,0.581,0.0074,0,0,0
Blood,0,90,0,0.384,0.603,0.0072,0,0,0
Blood,0,91,0,0.661,0.327,0.0048,0,0,0
Brain,0,89,0,0.128,0.462,0.41,0,0,0
Brain,0,90,0,0.0455,0.545,0.409,0,0,0
Brain,0,91,0,0.121,0.515,0.364,0,0,0
Blood,0,92,0,0.595,0.408,0.0064,0,0,0
Blood,0,93,0,0.68,0.33,0.001,0,0,0
Blood,0,94,0,0.671,0.339,0.0038,0,0,0
Blood,0,95,0,0.841,0.17,0.0051,0,0,0
Brain,0,93,0,0.156,0.312,0.531,0,0,0
